사망원인별(104항목),성별,연령(5세)별,2017,2018,2019,2020,2021
계,계,계,285534,298820,295110,304948,317680
계,계,0 - 9세,1471,1328,1233,1001,913
계,계,10 - 19세,823,841,794,766,773
계,계,20 - 29세,2471,2528,2561,2706,2778
계,계,30 - 39세,4911,5065,4905,4759,4541
계,계,40 - 49세,12702,12584,11920,11574,11222
계,계,50 - 59세,27691,27874,27291,26390,25413
계,계,60 - 69세,37663,39190,39442,41095,44457
계,계,70 - 79세,69960,71137,68291,68301,68819
계,계,80세 이상,127801,138230,138602,148329,158739
계,남자,계,154328,161187,160322,165163,171967
계,남자,0 - 9세,842,747,695,573,509
계,남자,10 - 19세,539,504,482,486,475
계,남자,20 - 29세,1703,1654,1620,1660,1783
계,남자,30 - 39세,3136,3232,3122,2968,2848
계,남자,40 - 49세,8736,8659,8083,7737,7521
계,남자,50 - 59세,20655,20474,20038,19171,18249
계,남자,60 - 69세,27231,28440,28636,29774,32344
계,남자,70 - 79세,43017,44257,43076,43649,43958
계,남자,80세 이상,48453,53195,54524,59136,64277
계,여자,계,131206,137633,134788,139785,145713
계,여자,0 - 9세,629,581,538,428,404
계,여자,10 - 19세,284,337,312,280,298
계,여자,20 - 29세,768,874,941,1046,995
계,여자,30 - 39세,1775,1833,1783,1791,1693
계,여자,40 - 49세,3966,3925,3837,3837,3701
계,여자,50 - 59세,7036,7400,7253,7219,7164
계,여자,60 - 69세,10432,10750,10806,11321,12113
계,여자,70 - 79세,26943,26880,25215,24652,24861
계,여자,80세 이상,79348,85035,84078,89193,94462
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,계,7986,8746,8692,10419,14978
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,0 - 9세,22,14,23,16,16
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,10 - 19세,4,7,5,5,4
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,20 - 29세,27,25,18,26,26
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,30 - 39세,51,54,57,62,82
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,40 - 49세,237,247,221,222,268
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,50 - 59세,596,600,621,530,820
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,60 - 69세,855,854,855,1081,1899
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,70 - 79세,2036,2177,1971,2401,3427
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",계,80세 이상,4155,4767,4919,6075,8436
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,계,3830,4209,4103,4890,7320
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,0 - 9세,14,11,14,6,10
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,10 - 19세,1,2,2,3,3
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,20 - 29세,16,15,12,10,18
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,30 - 39세,38,42,42,43,51
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,40 - 49세,200,191,167,164,191
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,50 - 59세,473,462,480,396,614
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,60 - 69세,582,584,600,757,1304
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,70 - 79세,1107,1196,1079,1318,2026
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",남자,80세 이상,1399,1706,1705,2192,3103
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,계,4156,4537,4589,5529,7658
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,0 - 9세,8,3,9,10,6
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,10 - 19세,3,5,3,2,1
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,20 - 29세,11,10,6,16,8
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)",여자,30 - 39세,13,12,15,19,31
